,Date,10591226
562,14-1-2024,4
563,04-1-2024,4
564,03-1-2024,4
565,31-12-2023,3
566,19-12-2023,3
567,20-11-2023,3
568,15-11-2023,3
569,07-11-2023,3
570,25-10-2023,3
571,13-10-2023,3
572,06-10-2023,3
573,03-10-2023,3
574,30-9-2023,3
575,21-9-2023,3
576,20-8-2024,3
577,19-8-2024,3
578,16-8-2024,3
579,14-8-2024,3
580,26-7-2024,3
581,12-7-2024,3
582,08-7-2024,3
583,24-6-2024,3
584,19-6-2024,3
585,17-6-2024,3
586,15-6-2024,3
587,14-6-2024,3
588,09-6-2024,3
589,19-5-2024,3
590,12-5-2024,3
591,11-5-2025,3
592,09-5-2024,3
593,27-4-2024,3
594,25-4-2024,3
595,25-4-2019,3
596,07-4-2024,3
597,06-4-2024,3
598,30-3-2024,3
599,24-3-2024,3
600,10-3-2024,3
601,05-3-2024,3
602,25-2-2024,3
603,24-2-2024,3
604,18-2-2024,3
605,11-2-2024,3
606,08-2-2024,3
607,15-1-2024,3
608,06-1-2024,3
609,30-12-2024,2
610,30-12-2023,2
611,28-12-2023,2
612,20-12-2023,2
613,14-12-2023,2
614,11-12-2023,2
615,08-12-2019,2
616,06-12-2023,2
617,28-11-2023,2
618,22-11-2023,2
619,19-11-2023,2
620,16-11-2023,2
621,09-11-2023,2
622,08-11-2023,2
623,03-11-2023,2
624,31-10-2023,2
625,13-10-2019,2
626,12-10-2023,2
627,02-10-2023,2
628,01-10-2023,2
629,27-9-2023,2
630,22-9-2024,2
631,06-9-2024,2
632,02-9-2024,2
633,23-8-2024,2
634,22-8-2024,2
635,21-8-2024,2
636,26-7-0004,2
637,19-7-2024,2
638,10-7-2024,2
639,09-7-2024,2
640,05-7-2024,2
641,03-7-2024,2
642,30-6-2022,2
643,13-6-2024,2
644,12-6-2024,2
645,11-6-2024,2
646,08-6-2024,2
647,07-6-2024,2
648,02-6-2024,2
649,01-6-2024,2
650,31-5-2024,2
651,30-5-2024,2
652,26-5-2024,2
653,25-5-2024,2
654,23-5-2024,2
655,22-5-2024,2
656,17-5-2024,2
657,07-5-2024,2
658,06-5-2024,2
659,02-5-2024,2
660,29-4-2024,2
661,27-4-2025,2
662,21-4-2024,2
663,16-4-2024,2
664,30-3-2025,2
665,23-3-2025,2
666,23-3-2024,2
667,14-3-2024,2
668,13-3-2024,2
669,03-3-2024,2
670,02-3-2024,2
671,22-2-2024,2
672,15-2-2024,2
673,14-2-2019,2
674,10-2-2024,2
675,04-2-2024,2
676,04-2-2018,2
677,28-1-2024,2
678,26-1-2025,2
679,25-1-2024,2
680,13-1-2025,2
681,12-1-2024,2
682,10-1-2024,2
683,01-1-2025,2
684,23-12-2023,1
685,22-12-2023,1
686,21-12-2023,1
687,13-12-2023,1
688,12-12-2023,1
